employee_id,department,hire_date,leave_date,tenure_band,leave_reason,voluntary,exit_interview_completed
E4087,Retail Operations,2025-01-05,2025-07-19,6-12 months,better offer elsewhere,Yes,No
E4110,Customer Care,2025-09-08,2025-09-08,1-2 years,No development opportunities,Yes,Yes
E4029,Retail Operations,2023-06-21,2023-05-12,1-2 years,No development opportunities,Yes,No
E4154,Retail Operations,2020-12-23,2025-05-31,2-5 years,Management,Yes,Yes
E4159,Customer Care,2024-05-16,2026-09-04,2-5 years,No development opportunities,Yes,Yes
E4053,Retail Operations,2016-12-12,2025-07-22,5+ years,Management,Yes,Yes
E4064,Retail Operations,2025-01-01,2025-04-12,<6 months,Family reasons,Yes,Yes
E4083,Customer Care,2025-02-21,2025-05-18,<6 months,No development opportunities,Yes,Yes
E4062,Retail Operations,2024-03-31,2025-04-11,1-2 years,Better offer elsewhere,Yes,No
E4025,Retail Operations,2024-01-01,2025-12-19,1-2 years,Family reasons,Yes,No
E4077,Facilities,2025-03-07,2026-08-03,1-2 years,Better offer elsewhere,Yes,Yes
E4023,Facilities,2022-08-12,2026-09-14,2-5 years,Pay,Yes,No
E4156,Technology,2024-08-28,2025-09-21,1-2 years,Pay,Yes,Yes
E4079,Warehouse,2022-06-15,2025-12-31,2-5 years,Pay,Yes,Yes
E4129,Warehouse,2025-08-30,2025-10-03,<6 months,Pay,Yes,No
E4102,Finance,2021-11-15,2026-05-24,2-5 years,Family reasons,Yes,Yes
E4063,Marketing,2023-08-18,2026-03-22,2-5 years,No development opportunities,Yes,Yes
E4041,Technology,2022-07-17,2025-11-24,2-5 years,Workload,Yes,Yes
E4082,Retail Operations,2024-09-27,2025-08-28,6-12 months,Workload,Yes,Yes
E4007,Retail Operations,2016-06-06,2025-08-15,5+ years,better offer elsewhere,Yes,Yes
E4016,Warehouse,2022-03-25,2026-07-04,2-5 years,Better offer elsewhere,Yes,No
E4104,Retail Operations,2022-09-27,2026-07-30,2-5 years,No development opportunities,Yes,Yes
E4093,Customer Care,2021-02-24,2026-02-28,5+ years,Pay,Yes,No
E4022,Retail Operations,2024-07-10,2025-09-21,1-2 years,Pay,Yes,Yes
E4140,Retail Operations,2025-02-14,2025-05-10,<6 months,Workload,Yes,Yes
E4109,Retail Operations,2025-07-29,2025-12-11,<6 months,Better offer elsewhere,Yes,Yes
E4084,Warehouse,2017-05-13,2026-05-07,5+ years,Better offer elsewhere,Yes,Yes
E4155,Customer Care,2026-01-30,2026-05-18,<6 months,Relocation,Yes,Yes
E4015,Retail Operations,2021-04-30,2025-04-09,2-5 years,Family reasons,Yes,No
E4130,,2025-08-21,2026-08-17,6-12 months,No development opportunities,Yes,Yes
E4086,Retail Operations,2025-01-23,2025-06-01,<6 months,Pay,Yes,Yes
E4042,Customer Care,2021-03-08,2025-04-14,2-5 years,Workload,Yes,Yes
E4085,Technology,2022-06-30,2026-06-06,2-5 years,Better offer elsewhere,Yes,Yes
E4121,Finance,2024-04-18,2026-02-12,1-2 years,Better offer elsewhere,Yes,Yes
E4076,Customer Care,2022-08-06,2025-09-28,2-5 years,No development opportunities,Yes,Yes
E4100,Customer Care,2022-08-22,2026-02-28,2-5 years,No development opportunities,Yes,Yes
E4024,Customer Care,2020-11-12,2025-05-11,2-5 years,Workload,Yes,Yes
E4108,Customer Care,2025-05-04,2026-04-13,6-12 months,No development opportunities,Yes,Yes
E4013,Customer Care,2026-01-16,2026-05-21,<6 months,No development opportunities,Yes,Yes
E4114,Retail Operations,2025-04-11,2025-08-22,<6 months,Better offer elsewhere,Yes,No
E4116,Retail Operations,2025-04-02,2026-07-22,1-2 years,Better offer elsewhere,Yes,No
E4018,Technology,2026-03-17,2026-06-12,<6 months,Workload,Yes,Yes
E4046,Warehouse,2020-01-13,2026-08-09,5+ years,Career change,Yes,Yes
E4147,Technology,2022-12-01,2025-11-02,2-5 years,Dismissed,No,No
E4014,Retail Operations,2024-05-02,2025-08-21,1-2 years,Career change,Yes,No
E4078,Warehouse,2017-10-12,2026-07-19,5+ years,Pay,Yes,Yes
E4092,Facilities,2024-12-04,2026-05-11,1-2 years,Better offer elsewhere,Yes,No
E4132,Retail Operations,2025-12-17,2026-06-07,<6 months,End of contract,No,Yes
E4043,Retail Operations,2021-11-01,2025-11-10,2-5 years,Better offer elsewhere,Yes,Yes
E4145,Retail Operations,2019-02-10,2026-07-28,5+ years,Relocation,Yes,No
E4148,Finance,2024-11-24,2026-01-06,1-2 years,Better offer elsewhere,Yes,Yes
E4157,Technology,2025-05-04,2026-02-03,6-12 months,No development opportunities,Yes,No
E4051,Customer Care,2025-05-04,2026-02-12,6-12 months,Workload,Yes,Yes
E4045,Marketing,2024-11-07,2025-05-15,6-12 months,Pay,Yes,Yes
E4105,Retail Operations,2025-05-01,2025-07-22,<6 months,Retirement,Yes,No
E4120,Technology,2024-11-18,2025-12-22,1-2 years,Workload,Yes,Yes
E4146,Customer Care,2021-01-23,2025-11-25,2-5 years,Better offer elsewhere,Yes,Yes
E4006,Technology,2024-08-05,2025-10-20,1-2 years,better offer elsewhere,Yes,No
E4072,Retail Operations,2024-01-28,2025-09-04,1-2 years,Management,Yes,Yes
E4094,Retail Operations,2026-02-05,2026-03-21,<6 months,No development opportunities,Yes,No
E4074,Retail Operations,2016-12-03,2025-10-31,5+ years,Better offer elsewhere,Yes,No
E4031,Customer Care,2025-04-19,2026-07-30,1-2 years,Workload,Yes,Yes
E4119,Customer Care,2020-10-03,2026-02-17,5+ years,Better offer elsewhere,Yes,Yes
E4039,Customer Care,2026-04-27,2026-08-02,<6 months,No development opportunities,Yes,Yes
E4138,Retail Operations,2024-03-03,2025-10-16,1-2 years,Better offer elsewhere,Yes,No
E4052,Customer Care,2024-12-24,2026-04-02,1-2 years,better offer elsewhere,Yes,Yes
E4036,Customer Care,2025-01-30,2025-11-15,6-12 months,Better offer elsewhere,Yes,Yes
E4009,Retail Operations,2025-03-03,2026-01-10,6-12 months,Pay,Yes,Yes
E4002,Customer Care,2023-03-18,2026-03-27,2-5 years,Better offer elsewhere,Yes,No
