month,team,overtime_hours,overtime_cost_kd,headcount,absence_days_per_person,open_vacancies
2026-01,Night Shift,115,862.50,12,3.14,0
2026-01,Warehouse,138,897.00,34,1.42,1
2026-01,Maintenance,104,884.00,9,1.32,0
2026-01,Fleet,58,406.00,14,1.09,0
2026-01,Site Services,58,348.00,22,0.9,0
2026-02,Night Shift,111,832.50,12,2.77,0
2026-02,Warehouse,124,806.00,34,1.12,1
2026-02,Maintenance,92,782.00,9,1.15,0
2026-02,Fleet,52,364.00,14,1.44,0
2026-02,night shift,77,462.00,22,1.4,0
2026-03,Night Shift,148,1110.00,12,3.18,0
2026-03,Warehouse,152,988.00,35,1.55,0
2026-03,Maintenance,69.6,591.60,9,1.03,0
2026-03,Maintenance,69.6,591.60,9,1.03,0
2026-03,Fleet,61,427.00,14,0.88,0
2026-03,Site Services,44,264.00,22,1.68,1
2026-04,Night Shift,119,892.50,11,3.31,2
2026-04,Warehouse,116,754.00,35,1.79,0
2026-04,Maintenance,88,748.00,9,1.42,0
2026-04,Fleet,49,343.00,13,0.96,0
2026-04,Site Services,62,372.00,22,1.2,1
2026-05,Night Shift,158,1180.00,11,3.1,2
2026-05,Warehouse,164,1067.00,34,0.82,0
2026-05,Maintenance,110,939.00,8,1.02,1
2026-05,Fleet,57,400.00,13,1.72,0
2026-05,Site Services,50,302.00,21,1.81,0
2026-06,Night Shift,158,1185.00,11,3.14,2
2026-06,Warehouse,272,1768.00,36,1.26,1
2026-06,Maintenance,96,816.00,8,1.72,1
2026-06,Fleet,54,378.00,13,1.17,0
2026-06,Site Services,48,288.00,21,1.16,0
2026-07,Night Shift,186,1395.00,10,3.11,2
2026-07,Warehouse,264,,36,2.03,1
2026-07,Maintenance,120,1020.00,8,0.49,1
2026-07,Fleet,63,441.00,13,1.12,1
2026-07,Site Services,55,330.00,21,1.3,0
2026-08,Night Shift,9999,1221.00,10,3.16,2
2026-08,Warehouse,158,1027.00,35,1.59,1
2026-08,Maintenance,98,833.00,8,1.1,0
2026-08,Fleet,50,350.00,13,1.01,1
2026-08,Site Services,52,312.00,22,1.15,0
2026-09,Night Shift,179,1342.50,10,2.36,2
2026-09,Warehouse,114,741.00,34,1.56,0
2026-09,Maintenance,106.4,904.40,8,1.82,0
2026-09,Fleet,54,378.00,13,1.14,1
2026-09,Site Services,52,312.00,22,1.52,0
