po_number,order_date,category,supplier,value_kd,delivery_days,on_time,requested_by
PO90021,2026-02-14,IT hardware,Gulf Digital Supply,3266,18,No,Operations
PO90126,2026-09-02,Office supplies,Office Plus Kuwait,313,12,Yes,Human Resources
PO90117,2026-03-24,Office supplies,Al Rashed Trading,1881,30,No,Warehouse
PO90039,2026-06-12,IT hardware,Al-Rashed Trading Co.,1174,8,Yes,Information Technology
PO90048,2026-05-12,Facilities,AL-RASHED TRADING CO.,2070,12,Yes,Finance
PO90071,2026-04-04,Facilities,Kuwait Clean Co.,1511,5,Yes,Facilities
PO90045,2026-01-26,IT hardware,TechPoint WLL,2337,10,Yes,Facilities
PO90130,2026-03-02,Office supplies,Office Plus Kuwait,347,11,Yes,Facilities
PO90161,2026-03-07,Office supplies,Bayan Office Supplies,707,27,No,Customer Service
PO90158,2026-09-12,Office supplies,Gulf Paper Co.,455,4,Yes,Information Technology
PO90151,2026-07-02,Office supplies,Gulf Paper Co.,684,7,Yes,Customer Service
PO90029,2026-08-10,IT hardware,Al-Rashed Trading Co.,564,25,No,Finance
PO90142,2026-01-25,Office supplies,Stationery House,266,7,Yes,Operations
PO90165,2026-05-30,Office supplies,Bayan Office Supplies,430,8,Yes,Human Resources
PO90030,2026-06-17,IT hardware,Al-Rashed Trading Co.,1089,4,Yes,Operations
PO90103,2026-02-20,Safety equipment,Al-Amn Safety Supplies,590,8,Yes,Human Resources
PO90101,2026-06-21,Safety equipment,Al-Amn Safety Supplies,843,7,Yes,Customer Service
PO90063,2026-06-05,Facilities,Bayan Facilities Services,635,28,No,Information Technology
PO90035,2026-02-28,IT hardware,Al-Rashed Trading Co.,948,10,Yes,Human Resources
PO90085,2026-01-15,Facilities,Arabian Maintenance WLL,877,3,Yes,Customer Service
PO90192,2026-03-14,Printing,Rapid Print WLL,1013,11,Yes,Warehouse
PO90093,2026-07-17,Safety equipment,SafeGuard Gulf,1818,4,Yes,Finance
PO90007,2026-08-12,IT hardware,Nexa Systems,1574,6,Yes,Facilities
PO90040,2026-05-07,IT hardware,Al-Rashed Trading Co.,1110,9,Yes,Finance
PO90110,2026-07-05,Safety equipment,ProTect Industrial,1461,5,Yes,Facilities
PO90104,2026-06-13,Safety equipment,Al-Amn Safety Supplies,965,24,No,Information Technology
PO90033,2026-05-06,IT hardware,Al-Rashed Trading Co.,953,3,Yes,Warehouse
PO90143,2026-01-10,Office supplies,Stationery House,581,11,Yes,Operations
PO90028,2026-07-18,IT hardware,Al-Rashed Trading Co.,1345,33,No,Operations
PO90120,2026-09-01,Office supplies,Al-Rashed Trading Co.,1095,7,Yes,Customer Service
PO90052,2026-02-11,Facilities,Bayan Facilities Services,1433,5,Yes,Warehouse
PO90114,2026-05-16,Safety equipment,ProTect Industrial,1283,4,Yes,Human Resources
PO90150,2026-02-18,Office supplies,Gulf Paper Co.,612,6,Yes,Information Technology
PO90005,2026-09-16,IT hardware,Nexa Systems,3649,3,Yes,Information Technology
PO90034,2026-04-20,IT hardware,Al-Rashed Trading Co.,1080,11,Yes,Customer Service
PO90108,2026-06-13,Safety equipment,ProTect Industrial,1147,20,No,Facilities
PO90018,2026-08-12,IT hardware,Gulf Digital Supply,2037,17,No,Customer Service
PO90138,2026-02-12,Office supplies,Stationery House,170,15,No,Operations
PO90012,2026-04-14,IT hardware,Nexa Systems,2318,33,No,Information Technology
PO90041,2026-09-28,IT hardware,TechPoint WLL,2543,5,Yes,Human Resources
PO90057,2026-03-25,Facilities,Bayan Facilities Services,1619,9,Yes,Facilities
PO90078,2026-06-27,Facilities,Arabian Maintenance WLL,373,3,Yes,Information Technology
PO90169,2026-02-23,Printing,Printworks Kuwait,767,17,No,Facilities
PO90118,2026-08-11,Office supplies,Al-Rashed Trading Co.,883,10,Yes,Warehouse
PO90134,2026-09-30,Office supplies,Office Plus Kuwait,471,7,Yes,Information Technology
PO90154,2026-02-25,Office supplies,Gulf Paper Co.,416,11,Yes,Warehouse
PO90135,2026-02-18,Office supplies,Office Plus Kuwait,286,5,Yes,Operations
PO90061,2026-02-24,Facilities,Bayan Facilities Services,624,2,Yes,Operations
PO90145,2026-08-13,Office supplies,Stationery House,483,2,Yes,Human Resources
PO90137,2026-05-11,Office supplies,Stationery House,407,4,Yes,Information Technology
PO90032,2026-06-03,IT hardware,Al-Rashed Trading Co.,617,2,Yes,Warehouse
PO90086,2026-08-14,Safety equipment,SafeGuard Gulf,771,6,Yes,Information Technology
PO90079,2026-05-31,Facilities,Arabian Maintenance WLL,1141,34,No,Operations
PO90010,2026-06-10,IT hardware,Nexa Systems,3426,11,Yes,Finance
PO90090,2026-05-18,Safety equipment,SafeGuard Gulf,648,4,Yes,Operations
PO90200,2026-09-24,Office supplies,Gulf Paper Co.,216,15,No,Facilities
PO90026,2026-06-20,IT hardware,Al-Rashed Trading Co.,1424,36,No,Operations
PO90127,2026-01-11,Office supplies,Office Plus Kuwait,271,6,Yes,Warehouse
PO90133,2026-08-07,Office supplies,Office Plus Kuwait,243,17,No,Finance
PO90100,2026-02-22,Safety equipment,Al-Amn Safety Supplies,1066,9,Yes,Customer Service
PO90084,2026-09-25,Facilities,Arabian Maintenance WLL,1433,10,Yes,Warehouse
PO90082,2026-06-19,Facilities,Arabian Maintenance WLL,925,20,No,Warehouse
PO90149,2026-09-26,Office supplies,Stationery House,283,2,Yes,Finance
PO90006,2026-08-10,IT hardware,Nexa Systems,3049,4,Yes,Information Technology
PO90183,2026-07-26,Printing,Al-Manar Press,587,5,Yes,Customer Service
PO90073,2026-02-04,Facilities,Kuwait Clean Co.,902,4,Yes,Operations
PO90179,2026-04-07,Printing,Al-Manar Press,795,5,Yes,Warehouse
PO90131,2026-02-10,Office supplies,Office Plus Kuwait,670,9,Yes,Warehouse
PO90074,2026-02-11,Facilities,Kuwait Clean Co.,732,8,Yes,Information Technology
PO90177,2026-03-29,Printing,Printworks Kuwait,527,21,No,Finance
PO90167,2026-07-22,Printing,Printworks Kuwait,605,35,No,Warehouse
PO90025,2026-08-07,IT hardware,Al-Rashed Trading Co.,1382,5,Yes,Customer Service
PO90058,2026-03-04,Facilities,Bayan Facilities Services,896,36,No,Customer Service
PO90164,2026-06-20,Office supplies,Bayan Office Supplies,431,6,Yes,Human Resources
PO90113,2026-02-09,Safety equipment,ProTect Industrial,643,7,Yes,Warehouse
PO90024,2026-06-12,IT hardware,Al-Rashed Trading Co.,382,5,Yes,Facilities
PO90070,2026-08-21,Facilities,Kuwait Clean Co.,921,5,Yes,Human Resources
PO90152,2026-01-27,Office supplies,Office Plus Kuwait,443,6,Yes,Warehouse
PO90148,2026-06-16,Office supplies,Stationery House,606,8,Yes,Operations
PO90160,2026-03-23,Office supplies,Bayan Office Supplies,473,7,Yes,Operations
PO90175,2026-02-09,Printing,Printworks Kuwait,937,8,Yes,Warehouse
PO90182,2026-06-30,Printing,Al-Manar Press,800,27,No,Human Resources
PO90162,2026-06-17,Office supplies,Bayan Office Supplies,632,4,Yes,Information Technology
PO90139,2026-08-02,Office supplies,Stationery House,535,9,Yes,Operations
