response_id,department,q1_workload,q2_manager_support,q3_tools,q4_communication,q5_development,q6_recognition,overall_satisfaction,would_recommend,comments
R1073,,3,4,3,3,3,2,3,No,
R1134,Human Resources,4,4,2,5,3,1,3,No,
R1113,Finance,5,5,4,3,4,4,5,Yes,
R1043,Operations,3,4,4,4,2,2,4,Yes,Communication from senior management is unclear.
R1090,Human Resources,3,5,4,3,4,2,4,Yes,"Happy overall, would like more development opportunities."
R1140,Information Technology,3,4,4,3,3,2,3,Yes,"Good team, too much work."
R1032,Operations,4,4,3,4,2,1,3,No,
R1076,Information Technology,3,3,2,4,3,4,3,Yes,
R1128,Operations,2,4,4,4,2,1,3,Yes,
R1115,Operations,4,5,5,1,1,4,4,Yes,
R1080,Customer Service,3,4,1,2,1,1,1,No,
R1018,Customer Service,2,3,1,3,2,3,2,No,
R1083,Customer Service,4,5,3,2,2,1,3,No,
R1153,Operations,3,2,2,4,5,2,3,Yes,
R1147,Information Technology,4,5,3,5,1,3,4,Yes,
R1139,Operations,3,5,1,1,4,3,3,No,
R1008,Operations,5,4,2,1,2,2,2,No,
R1085,Finance,1,5,4,4,2,4,3,Yes,
R1124,Finance,2,3,3,3,1,4,1,No,
R1118,Finance,3,4,2,2,4,2,2,No,
R1097,Operations,5,4,2,2,2,3,3,No,
R1058,Operations,4,3,3,4,2,3,,No,
R1011,Customer Service,3,2,4,4,3,1,3,No,Training budget was cut again this year.
R1055,operations,3,4,3,2,2,2,2,No,
R1071,Human Resources,2,4,4,5,2,2,2,No,
R1046,Procurement,4,5,3,3,3,3,4,Yes,
R1102,Finance,3,4,3,2,3,4,3,Yes,"Happy overall, would like more development opportunities."
R1020,Finance,2,4,3,3,2,2,1,No,"Happy overall, would like more development opportunities."
R1079,Customer Service,3,4,3,4,2,1,3,No,
R1059,Operations,4,3,2,4,4,2,4,Yes,Communication from senior management is unclear.
R1083,Customer Service,4,5,3,2,2,1,3,No,
R1049,Customer Service,2,3,1,1,2,2,1,No,
R1024,Operations,2,3,1,4,1,1,1,No,
R1106,Customer Service,3,5,4,2,2,2,3,No,
R1146,Operations,3,3,3,4,2,2,3,Yes,
R1010,Customer Service,1,5,3,3,3,4,4,Yes,
R1133,Operations,3,5,1,2,1,1,1,No,My manager is supportive. The company is not.
R1068,Customer Service,2,4,3,3,2,1,3,No,
R1125,Customer Service,2,3,1,2,3,3,2,No,Communication from senior management is unclear.
R1110,Customer Service,3,2,1,2,1,2,1,No,
R1019,Operations,3,3,3,3,3,1,2,No,
R1050,Operations,4,5,3,4,4,4,4,Yes,
R1026,Finance,3,5,4,5,2,2,4,Yes,"As the only person who handles vendor payments for Site B, I raise the same issue every quarter and nothing changes."
R1144,Customer Service,2,5,3,4,1,4,4,Yes,
R1136,Human Resources,4,3,4,3,3,4,3,Yes,
R1051,Procurement,5,5,5,4,5,5,5,Yes,"Good team, too much work."
R1087,Human Resources,4,2,1,2,4,2,,No,
R1029,Finance,3,4,3,5,3,1,3,No,
R1109,Information Technology,4,5,1,4,2,4,4,Yes,
R1081,Operations,3,3,3,2,3,3,7,Yes,
R1052,Information Technology,5,4,2,3,3,1,3,Yes,
R1067,Customer Service,3,4,3,1,2,2,2,No,
R1065,Operations,4,4,5,2,4,4,,Yes,
R1023,Operations,3,3,3,4,3,4,,Yes,
R1156,Finance,5,5,3,3,2,3,4,Yes,
R1017,Ops,1,4,3,3,2,2,2,No,
R1001,Information Technology,2,3,4,3,4,3,3,No,
R1103,Finance,3,3,2,3,5,3,3,Yes,
R1138,Information Technology,1,2,3,4,3,2,2,No,
R1030,Human Resources,3,5,3,1,3,1,2,No,
R1091,Customer Service,4,3,3,2,3,2,3,Yes,
R1117,Finance,4,4,2,3,3,2,2,No,
R1145,Operations,4,2,1,3,2,2,1,No,
R1112,Customer Service,3,4,4,1,2,2,3,No,
R1096,Customer Service,5,2,1,3,2,1,2,No,
R1042,Information Technology,5,5,4,5,3,2,5,Yes,
R1033,Customer Service,3,2,2,3,1,3,2,No,
R1132,Operations,2,4,4,4,2,2,3,Yes,
R1100,Human Resources,3,5,2,2,2,5,3,Yes,
R1151,Finance,2,5,5,5,2,3,5,Yes,
R1003,Human Resources,2,4,3,3,3,2,2,No,
R1150,Operations,3,4,4,3,2,3,3,No,
R1158,Customer Service,3,3,2,4,2,1,3,No,
R1061,Operations,2,5,1,3,2,2,2,No,Training budget was cut again this year.
R1077,Customer Service,4,4,3,4,3,1,4,Yes,
R1086,Finance,2,4,4,3,3,4,4,Yes,
R1135,Operations,1,4,3,3,4,1,2,No,
R1002,Finance,5,4,2,5,3,3,5,Yes,
R1036,Operations,2,4,4,3,4,2,4,Yes,Training budget was cut again this year.
R1031,Operations,2,4,3,2,2,3,2,No,
R1088,Operations,4,3,4,3,4,3,4,Yes,
R1157,Finance,4,4,4,3,4,1,4,Yes,
R1054,Operations,3,5,4,4,1,3,4,Yes,
R1129,Operations,2,4,3,1,3,1,2,No,
R1063,Information Technology,3,5,4,3,4,2,4,Yes,
R1123,Customer Service,3,2,2,3,2,2,2,No,
R1070,Information Technology,3,5,3,5,2,4,4,Yes,Training budget was cut again this year.
R1006,Information Technology,3,2,3,2,1,3,,No,
