ticket_id,channel,date_opened,hour_opened,request_type,first_response_hours,resolved_first_contact,satisfaction_score
T70001,WhatsApp,2026-04-23,10:00,Account change,2.5,No,5
T70002,Walk-in,2026-05-09,17:00,Delivery issue,0.3,Yes,3
T70083,Email,2026-08-27,17:00,Delivery issue,14.6,No,3
T70004,WhatsApp,2026-06-15,12:00,Account change,4.1,No,5
T70005,WhatsApp,2026-06-15,08:00,Account change,19.6,Yes,3
T70006,Email,2026-05-01,17:00,Account change,12.2,Yes,4
T70007,Walk-in,2026-06-04,11:00,Complaint,0.3,Yes,3
T70008,whatsapp,2026-08-23,09:00,Technical problem,29.3,No,2
T70009,WhatsApp,2026-04-05,09:00,Complaint,6.4,No,4
T70010,WhatsApp,2026-05-15,11:00,Order status,4.7,Yes,4
T70011,WhatsApp,2026-06-25,09:00,Technical problem,19.7,No,3
T70012,Web form,2026-09-19,09:00,Product question,10.2,Yes,5
T70013,Web form,2026-08-12,11:00,Product question,15.3,Yes,4
T70014,Web form,2026-09-08,13:00,Order status,88.7,Yes,2
T70015,Email,2026-07-18,08:00,Delivery issue,10.2,No,4
T70016,Email,2026-06-22,10:00,Delivery issue,3.7,No,5
T70017,WhatsApp,2026-08-10,18:00,Account change,39.1,No,1
T70018,Phone,2026-07-04,18:00,Account change,0.3,Yes,4
T70019,Phone,2026-08-20,16:00,Order status,0.6,Yes,3
T70020,WhatsApp,2026-08-15,17:00,Refund request,13.3,Yes,3
T70021,Phone,2026-04-22,12:00,Refund request,0.5,Yes,3
T70022,Email,2026-05-25,11:00,Order status,39.9,Yes,2
T70023,Email,2026-05-17,08:00,Delivery issue,65.8,Yes,1
T70024,Phone,2026-06-21,10:00,Refund request,0.3,No,4
T70025,WhatsApp,2026-07-06,10:00,Delivery issue,26.5,Yes,2
T70026,WhatsApp,2026-07-22,16:00,Delivery issue,56.8,Yes,1
T70027,WhatsApp,2026-08-18,15:00,Complaint,9.4,No,3
T70028,Phone,2026-05-10,14:00,Complaint,0.4,Yes,4
T70029,Email,2026-05-14,16:00,Complaint,12.9,Yes,4
T70030,WhatsApp,2026-09-11,11:00,Refund request,24.2,No,2
T70031,WhatsApp,2026-05-11,18:00,Delivery issue,4.6,No,4
T70083,Email,2026-08-27,17:00,Delivery issue,14.6,No,3
T70032,Phone,2026-04-10,10:00,Technical problem,0.6,Yes,3
T70033,WhatsApp,2026-09-23,16:00,Account change,85.3,No,1
T70034,Email,2026-07-06,10:00,Refund request,12.5,Yes,4
T70035,Phone,2026-09-01,17:00,Account change,0.5,Yes,3
T70036,WhatsApp,2026-05-07,18:00,Product question,2.1,Yes,5
T70037,Email,2026-04-09,12:00,Complaint,17.2,No,3
T70038,WhatsApp,2026-09-06,15:00,Technical problem,15.8,Yes,3
T70039,Email,2026-05-12,10:00,Order status,28.9,No,2
T70040,WhatsApp,2026-07-11,08:00,Complaint,13.4,No,3
T70041,WhatsApp,2026-08-12,16:00,Technical problem,18.4,No,3
T70042,Email,2026-06-04,13:00,Product question,105.8,No,1
T70043,Walk-in,2026-06-17,15:00,Product question,0.5,Yes,3
T70044,Email,2026-09-24,14:00,Order status,6.9,No,4
T70045,Walk-in,2026-07-09,14:00,Delivery issue,0.1,Yes,5
T70046,Phone,2026-06-17,17:00,Technical problem,0.5,Yes,3
T70047,Email,2026-04-13,13:00,Product question,35.9,No,2
T70048,Phone,2026-04-26,10:00,Complaint,0.3,No,4
T70049,Email,2026-07-11,12:00,Order status,11.8,Yes,4
T70050,Email,2026-08-05,15:00,Complaint,7.9,Yes,4
T70051,Email,2026-06-17,13:00,Account change,31.5,No,2
T70052,Walk-in,2026-05-05,09:00,Technical problem,0.4,No,3
T70053,WhatsApp,2026-07-16,15:00,Product question,13.4,No,3
T70054,Web form,2026-09-02,13:00,Account change,38.6,Yes,3
T70055,Email,2026-09-13,12:00,Order status,17.7,No,3
T70056,Email,2026-09-22,17:00,Refund request,10.6,No,4
T70057,Web form,2026-08-26,18:00,Order status,23.2,No,4
T70058,Email,2026-06-04,13:00,Order status,14.8,No,3
T70059,WhatsApp,2026-07-13,14:00,Delivery issue,14.2,No,3
T70060,Email,2026-04-17,13:00,Product question,1.4,No,5
T70061,Email,2026-06-28,17:00,Product question,18.8,No,3
T70062,WhatsApp,2026-09-15,15:00,Complaint,30.7,Yes,2
T70063,Email,2026-04-23,08:00,Product question,24.1,No,3
T70064,Phone,2026-07-24,08:00,Complaint,0.2,No,5
T70065,Phone,2026-09-16,10:00,Refund request,0.3,No,4
T70066,WhatsApp,2026-07-16,12:00,Refund request,11.1,No,3
T70067,Phone,2026-09-01,08:00,Product question,0.4,Yes,4
T70068,Web form,2026-07-05,09:00,Complaint,49.5,No,2
T70069,WhatsApp,2026-04-02,15:00,Order status,3.7,No,5
T70070,WhatsApp,2026-05-21,12:00,Order status,29.5,No,2
T70071,Web form,2026-07-19,13:00,Refund request,86.2,Yes,2
T70072,WhatsApp,2026-08-27,12:00,Order status,15.1,Yes,3
T70073,WhatsApp,2026-09-11,10:00,Delivery issue,15.0,No,3
T70074,Email,2026-08-11,10:00,Order status,9.0,Yes,4
T70075,WhatsApp,2026-06-07,12:00,Technical problem,25.1,Yes,2
T70076,Email,2026-08-09,09:00,Order status,5.1,No,5
T70077,Web form,2026-04-28,09:00,Product question,40.6,Yes,3
T70078,Phone,2026-06-09,11:00,Order status,0.4,No,4
T70079,Phone,2026-09-14,12:00,Complaint,0.6,Yes,3
T70080,Walk-in,2026-06-26,15:00,Complaint,0.3,Yes,3
T70081,WhatsApp,2026-09-22,12:00,Refund request,26.6,No,2
T70082,Email,2026-09-04,11:00,Delivery issue,11.6,No,4
T70084,WhatsApp,2026-09-12,08:00,Account change,19.7,Yes,3
